Instance_number,coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST,Cluster
0.196825,0.4,0.777778,0.764706,0.692308,0.967742,2013-06-20,0,0000-00-00,0.935484,2013-07-18,0.903226,2013-07-18,0.645161,2013-09-11,0,2013-04-16,0.44,2
0.2,0.4,0.555556,0.588235,0.538462,0.774194,2013-09-19,0,0000-00-00,0.967742,2013-07-31,0.677419,2013-09-05,0,0000-00-00,0,0000-00-00,0.48,2
0.203175,0.4,0.277778,0.294118,0.384615,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.83871,2013-06-27,0.645161,2013-07-31,0,0000-00-00,0.52,1
0.206349,0.4,0.833333,0.823529,0.846154,0.967742,2013-06-21,0.870968,2013-07-24,1,2013-06-20,0.870968,2013-09-05,0,0000-00-00,0,2013-04-16,0.44,0
0.209524,0.4,0.333333,0.352941,1,0.967742,2013-07-11,0,0000-00-00,1,2013-07-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.56,2
0.212698,0.4,1,1,0.846154,1,2013-06-20,0.774194,2013-06-12,0.967742,2013-06-20,1,2013-06-27,0.903226,2013-07-30,0,2013-05-07,0.84,0
0.215873,0.4,1,1,0.769231,0.967742,2013-07-11,0.870968,2013-06-12,1,2013-06-20,0.774194,2013-09-05,0.903226,2013-07-03,0,2013-02-05,0.64,0
0.219048,0.4,0.333333,0.352941,0.846154,0.967742,2013-09-19,0,0000-00-00,0,0000-00-00,0.903226,2013-07-18,0,0000-00-00,0,0000-00-00,0.64,1
0.222222,0.4,1,1,0.692308,1,2013-06-21,0.806452,2013-07-08,0.870968,2013-07-18,0.903226,2013-07-18,0.774194,2013-06-12,0,2013-04-16,0.64,0
0.225397,0.4,0.111111,0.117647,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.870968,2013-09-19,0,0000-00-00,0,0000-00-00,0.48,1
0.228571,0.4,0.111111,0.117647,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.870968,2013-07-18,0,0000-00-00,0,0000-00-00,0.56,1
0.231746,0.4,0.388889,0.352941,0.769231,0.806452,2013-06-21,0,0000-00-00,1,2013-07-18,0,0000-00-00,0,0000-00-00,0,2013-05-21,0.72,2
0.234921,0.4,0.777778,0.764706,0.615385,0.967742,2013-06-20,0.806452,2013-09-19,0.967742,2013-06-20,0,0000-00-00,0.645161,2013-09-12,0,2013-04-09,0.8,0
0.238095,0.4,0.388889,0.352941,0.615385,0.967742,2013-07-26,0,0000-00-00,0,0000-00-00,0.709677,2013-09-05,0,0000-00-00,0,2013-12-10,0.52,1
0.24127,0.4,0.555556,0.588235,0.538462,0.903226,2013-07-26,0,0000-00-00,0.83871,2013-07-31,0.677419,2013-09-05,0,0000-00-00,0,0000-00-00,0.4,2
0.244444,0.4,0.333333,0.352941,0.384615,0.870968,2013-09-19,0,0000-00-00,0.580645,2013-09-13,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.64,2
0.247619,0.4,0.555556,0.588235,0.384615,0.870968,2013-07-11,0,0000-00-00,0.580645,2013-07-18,0.806452,2013-09-05,0,0000-00-00,0,0000-00-00,0.64,2
0.250794,0.4,0.388889,0.352941,0.230769,0.580645,2013-09-19,0,0000-00-00,0.741935,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-13,0.56,2
0.253968,0.4,0.777778,0.823529,0.923077,1,2013-07-11,0.935484,2013-06-12,1,2013-07-18,0.903226,2013-09-05,0,0000-00-00,0,0000-00-00,0.48,0
0.257143,0.4,0.722222,0.764706,0.769231,0.83871,2013-07-11,0,0000-00-00,0.967742,2013-07-31,0.935484,2013-09-19,0.83871,2013-09-11,0,0000-00-00,0.8,2
